questions,answers,empty_answers
What are the maximum dimensions of the shipments that can be arranged in the locker?,Size DimensionsXS = 250 x 60 x 400 mm,0
Is the Shield Service available in all countries?,Shield excluded countries,0
"If I have a claim for a lost or damaged shipment protected under Shield Service, how long will Aramex take to respond to me after filing the claim?","Within 30 business days of receiving the  claim and receipt of supporting documentation identified under test below, Aramex will, for a straightforward claim, confirm whether the claim is admissible, and the following information:If the claim is admissible, the compensation amount will be determined; or",0
What documents do I need to provide when submitting a claim for loss or damage to a shipment protected under Shield Services?,"You need to provide the following documentation:Waybill of shipment, which was lost or damaged.",0
Is there a limit on the value of goods for which the Shield Service is applicable?,"Shipments with a declared value of up to USD 10,000 may be covered under the .",0
What is the fee for the Shield Service?,Shield Service,0
"I purchased the Shield Service for my shipment, which was damaged while Aramex provided services. Do I receive a full refund for the value of the shipment and shipping charges I paid?","If the shipment covered under the  is lost or damaged, then you will be compensated only for the declared value of the goods, provided that the claim is admissible, and all supporting documentation indicated in Q5 is submitted.",0
When can I request the Shield Service?,"The shipment is handed over to Aramex, and",0
I donâ€™t have an invoice for my shipment protected under the Shield Service. How will Aramex determine the declared value of the shipment?,"is not available for shipments with no invoice. A commercial invoice or a pro forma invoice must accompany the shipment, and Aramex will determine the declared value of the shipment as follows:Shipments with Commercial Invoice: Declared value based on the commercial invoice.",0
Can I ship from any city to any city in the world?,The presence of an Aramex office in both cities is required; you can check the link:,0
Collecting passports from the Spanish embassy through the BLS services center,"You must present a valid ID if you are collecting your own passport and a family card/book in case of collecting the passport of your child, or an authorization letter signed by the passport holder if you are collecting someone elseâ€™s passport.",0
How do I handle returns?,"To handle a return, log in to your Aramex account or app, select the shipment, and request a return. Follow the instructions provided or contact customer service if needed.",1
What packaging materials should I use?,"Use a strong box, bubble wrap, packing tape, and a clear shipping label. Avoid damaged or reused packaging.",1
How do I track my pickup?,You can track your pickup request by logging into your Aramex account or app and checking the shipment status under “Scheduled Pickups.”,1
How do I schedule a pickup?,"Log in to your Aramex account or app, go to “Schedule a Pickup,” and fill in the shipment details.",1
What are the customs requirements for international shipping?,"International shipments must include a commercial invoice, accurate item descriptions, declared value, and HS codes. Additional documents may be required based on destination country regulations.",1
How do I cancel a shipment?,"To cancel a shipment, log in to your Aramex account or app and request cancellation through the shipment details page. If the shipment has already been picked up, contact customer service for assistance.",1
How do I insure my parcel?,shield service,0
What is the estimated delivery time for international shipments?,"International shipments have varying estimated arrival times based on factors such as the origin and destination, the contents of the shipment, and the delivery area.",0
What items are prohibited from shipping?,"To ensure safety while shipping parcels, Aramex discourages the shipment of prohibited, restricted, and dangerous items to any destination. You can download and read our list of   Items for more information. Also, some countries have additional restrictions, prohibitions, and acceptance processes for certain commodities. Please refer to the  page to check the prohibited/restricted items by country.Customs Information",0
How do I prepare my parcel for shipment?,"Pack securely, label clearly, and include required documents. Avoid prohibited items.",1
How do I track my parcel?,Sure! You can track your shipment at any time using our online tracking tool at  or through the Aramex App.,0
How do I contact customer service?,Live Chat,0
What are the delivery options available?,"Aramex offers several delivery options including Domestic Express for same-day or next-day delivery within the country, International Express for urgent global shipments, Freight services for large or commercial goods, and Aramex Locker for flexible self-pickup. Availability may vary by location and service type.",1
Can I request a signature upon delivery?,"Yes, this service is available in certain countries. You can check out the extra services while creating your request and add them if they're available in your area!",0
Are there any additional fees or surcharges?,"Yes, if there are any extra services needed at the origin, like BOE charges or repacking, or if the shipper requests things like signature, insurance, or returns, there will be additional costs. Also, some shipments may require customs clearance at the destination, which could involve taxes or VAT.",0
What are the shipping costs?,"The shipping cost covers the basic charges to get your shipment from the origin to the destination by air, road, or sea. It doesnâ€™t include any extra services, fees, or additional requests you might have.",0
What happens if I miss the delivery?,"If our delivery champion tries to deliver your shipment and you're not available, causing the delivery to be incomplete, the package will be sent back to our warehouse. You can reschedule the delivery on our website or app, or reach out to our Customer Service team via WhatsApp 0097145031111 or LiveChat for help!",0
Can I schedule a specific delivery time?,"Yes, when you schedule a delivery and choose the city or area, the system will show you available time slots based on that location, so you can pick the one that works best for you!",0
What should I do if my parcel is lost or missing?,"If your shipment gets lost after Aramex has received it, just file your claim through our system or get in touch with , and weâ€™ll be happy to help!",0
When will my parcel be delivered once itâ€™s been shipped or how long to Aramex deliveries take?,"Delivery times vary based on where itâ€™s coming from and where itâ€™s going. If your shipment has non-document items, it'll go through customs first and then head to the delivery area, whether it's a daily delivery or not!",0
Where is my parcel right now?,check the status,0
How do I file a claim for a lost or damaged parcel?,"Iâ€™m really sorry to hear that! In this case, youâ€™ll need to contact the shipper directly to ask about getting a replacement or compensation.",0
Can I change the delivery address?,"Of course! You can totally update the delivery address! If the shipmentâ€™s already on its way, weâ€™ll just reschedule the delivery. If it hasnâ€™t been sent out yet, weâ€™ll reroute it to the new address!",0
Why is my parcel delayed?,"Shipments may occasionally be delayed due to factors like airline delays, weather conditions at the origin or destination, customs inspections, or some missing information. To check the accurate reason for the delay, you have to  on our website or the Aramex application.",0
What does the tracking status mean?,"gives you the latest details on where your shipment is and its current status, including where itâ€™s arrived, reached, or been processed.",0
How can I redirect my parcel to a different location?,"You can easily update your delivery address or method through our app, or just reach out to our Customer Service team on WhatsApp 0097145031111 or Live Chat for help!",0
What payment methods are accepted?,"Aramex accepts Visa, MasterCard, cash, and COD depending on your country and service type.",1
What is an Air Waybill?," An Air Waybill is a shipping document that includes shipment details, tracking number, and delivery instructions.",1
I won't be in the Country. Can I put a hold on my deliveries?,"You can request that your package be left with a neighbor or held until you're back in town. Just keep in mind that if the holding period expires, Aramex may return, destroy, or discard the package according to our policy. So be sure to let us know in advance!",0
Why my shipment has been shipped from the shipper and is still not assigned under my Shop and Ship account?,This may occur due to missing account details or delays in processing. Contact Aramex to verify and update your information.,1
How long does it take for me to receive a package once it is shipped?," Delivery times vary by origin and destination, typically ranging from 3 to 7 business days.",1
What is the Aramex Freight service?,"Aramex Freight provides end-to-end logistics for large shipments, including transport, customs, and delivery.",1
What are the maximum dimensions of the express packages?,The maximum weight for express shipments is 30 kg. Size limits vary by country and service.,1
Do I need shipping insurance or to add Shield service?,Shield Service offers protection against loss or damage. It’s recommended for high-value shipments.,1
Do I need an Import/Export License for my shipment?, Certain shipments require licenses based on destination and item type. Check with Aramex or local customs.,1
What is the difference between a Commercial Invoice and a Pro-forma Invoice?,A Commercial Invoice is used for actual shipments; a Pro-forma Invoice is for estimates or customs pre-approval.,1
What is a Commercial Invoice?," It’s a legal document detailing the goods, value, and parties involved in the shipment, required for customs clearance.",1
How can I find Aramex office in my area?,We are closer than you think!,0
Who will deliver my shipment?,"If your country and area are served by our operation team, one of our courier partners with postal providers around the world will deliver shipments on your behalf.",0
Can I track multiple tracking numbers with a single request?,Advanced Tracking,0
Where can I find pricing information?,Calculate Shipping Rates,0
How can I become an Aramex eCommerce customer?,"Weâ€™re excited to receive your request! To become an eCommerce customer, please visit the link below for more details.",0
Why is my shipment returned?,"Currently, we can't specify the exact reason for the return, as it's typically noted on the physical shipment by the postal service staff. However, common reasons for returned shipments include:3) The address details were incomplete or incorrect (invalid address).",0
How do I update my billing information?, Log in to your Aramex account and navigate to billing settings to update your payment details.,1
What should I do if my parcel is damaged?,File a claim through Aramex’s support portal with photos and documentation of the damage.,1
How do I update my account information?,"You can update your profile, address, and preferences by logging into your Aramex account.",1
How do I get proof of delivery?,Request a delivery receipt via customer service or download it from your shipment tracking page.,1
Why would a package be held in customs?,"Common reasons include missing documents, restricted items, or unpaid duties. Aramex can assist with clearance.",1
My package status has remained the same for some time. Is the delivery going to be delayed?,The status of your shipment will be updated at different stages between pickup and delivery in the Aramex system. Keep in mind that the status might not change for over 24 hours while the shipment is in transit.,0
Who has to pay duties and taxes?,"The recipient is usually responsible for paying duties and taxes, based on the destination country's customs regulations and the declared value of the shipment. Aramex facilitates the clearance process but does not cover these fees.",1
What is a certificate of origin?,"While you can often state the origin of the goods on the commercial invoice, some countries or territories require a separate Certificate of Origin. This document must be signed by the relevant government department, chamber of commerce, or embassy in the exporting country or territory.",0
"I tracked my shipment, and it appears there is a customs or clearance delay. What should I do?",Contact Aramex with your tracking number. They’ll guide you on required documents or next steps.,1
What is a harmonized or HS code?,It’s a standardized code used to classify goods for customs and determine applicable duties and taxes.,1
Which countries use the HS code?,"More than 212  around the world use the code as a gold standard. See a complete list of countries, territories, and economic unions using the code here.",0
Are HS and HTS the same?,"No matter what it's called, the HS Code is based on the description of your products. This code is crucial because it determines the duty and tax rates that will apply to your shipment.",0
What would happen if I used an incorrect HS code?,"Use the government websites, the HS Code finder tool.Three ways to avoid making common HS Code mistakes:",0
What time will the courier pick up or collect my package?,Pickup times depend on your location and booking slot. You’ll receive confirmation after scheduling.,1
Can I send a package without an Aramex Express Account?,"Yes, you can ship as a guest via Aramex outlets or online without creating an account.",1
